"family","семья","familio"
"narrator","рассказчик","Rakontanto"
"hero","герой","heroo"
"character","персонаж","rolulo"
"edition","издание","eldono"
"villain","злодей","kanajlo"
"jazz","джаз","ĵazo"
"trance","транс","Transo"
"punk","панк-рок","Punkroko"
"pop","поп-музыка","popo"
"blues","блюз","bluso"
"folk music","фолк-музыка","popolmuziko"
"rap","рэп","Repo"
"organ","орган","Organo"
"saxophone","саксофон","saksofono"
"musical instrument","музыкальный инструмент","muzikilo"
"bongos","бонго","bongoj"
"French horn","валторна","franca korno"
"masterpiece","шедевр","Majstroverko"
"bust","бюст","Busto"
"sketch","эскиз","Skizo"
"talent","талант","talento"
"dragon","дракон","drako"
"myth","миф","mito"
"giant","великан","Giganto"
"monster","монстр","Monstro"
"wizard","колдун","sorĉisto"
"curse","проклятие","Malbeno"
"spell","заклинание","sorĉo"
"supernatural","сверхъестественный","supernatura"
"anime","аниме","Animeo"
"melodrama","мелодрама","Melodramo"
"blockbuster","блокбастер","blokbustro"
"horror film","фильм ужасов","hororfilmo"
"event","мероприятие","evento"
"act","акт","Akto"
"audience","зрители","spektantoj"
"applaud","аплодировать","Aplaŭdi"
"performance","выступление","prezentado"
"interval","антракт","Antrakto"
"bowling","боулинг","bovlado"
"spa","спа","spao"
"rest","отдых","Ripozo"
"roller skating","катание на роликовых коньках","rulglitado"
"skydiving","парашютизм","paraŝutismo"
"visa","виза","vizo"
"tourism","туризм","turismo"
"adventure","приключение","aventuro"
"voyage","вояж","vojaĝo"
"sunbathe","загорать","sunbani"
"sandy","песчаный","sabla"
"rocky","каменистый","roka"
"seaside","морской берег","Marbordo"
"bingo","бинго","bingo"
"video game","видеоигра","Videoludo"
"bullseye","яблочко","celcentro"
"dartboard","мишень","celtabulo"
"darts","дартс","darto"
"biathlon","биатлон","biatlono"
"curling","кёрлинг","kurlado"
"ice climbing","ледолазание","glaciogrimpado"
"bobsleigh","бобслей","bobsledo"
"boxing","бокс","bokso"
"golf","гольф","Golfo"
"wrestling","борьба","Luktado"
"marathon","марафон","Maratono"
"sprint","спринт","Sprinto"
"exercise","упражняться","ekzerciĝi"
"workout","тренировка","trejnado"
"swimming","плавание","naĝado"
"Pilates","Пилатес","Pilateso"
"parachute","парашют","Paraŝuto"
"skis","лыжи","skioj"
"hot-air balloon","аэростат","varmaera balono"
"roller skates","роликовые коньки","rulglitiloj"
"start","старт","starto"
"emblem","эмблема","Emblemo"
"trophy","трофей","Trofeo"
"Olympics","Олимпийские игры","Olimpikoj"
"olympic","олимпийский","olimpika"
"finish","финиш","finiso"
"double room","двойной номер","duobla ĉambro"
"single room","одноместный номер","unuloka ĉambro"
"room key","ключ от номера","ĉambroŝlosilo"
"room number","номер комнаты","ĉambronumero"
"twin room","двухместный номер","Dulita ĉambro"
"tower","башня","Turo"
"pyramid","пирамида","Piramido"
"arch","арка","Arko"
"touristic attractions","достопримечательности","vidindaĵoj"
"ruins","руины","Ruinoj"
"paint","красить","farbi"
"cement","цемент","cemento"
"concrete","бетон","betono"
"construction","строительство","konstruado"
"rebuild","перестраивать","rekonstrui"
"reconstruction","реконструкция","rekonstruo"
"path","тропинка","Pado"
"area","площадь","areo"
"location","местоположение","loko"
"pedestrian zone","пешеходная зона","piedira zono"
"motorbike","мотоцикл","motorciklo"
"garage","гараж","Garaĝo"
"passenger","пассажир","pasaĝero"
"stop","останавливаться","Halti"
"trolleybus","троллейбус","Trolebuso"
"waiting room","зал ожидания","Atendejo"
"check in","регистрироваться","registriĝi"
"baggage reclaim","выдача багажа","bagaĝprenejo"
"passport control","паспортный контроль","pasporta kontrolo"
"hold","трюм","Trumo"
"cargo","груз","kargo"
"deck","палуба","Ferdeko"
"disembark","высаживаться с корабля","elŝipiĝi"
"embark","садиться на корабль","Enŝipiĝi"
"freighter","грузовое судно","Kargŝipo"
"traffic jam","пробка","trafikblokiĝo"
"parking meter","парковочный счётчик","parkummetro"
"traffic sign","дорожный знак","trafiksigno"
"brake","тормоз","Bremso"
"starter","стартер","Startilo"
"honk","сигналить","Hupi"
"steering wheel","руль","Stirilo"
"viewer","зритель","spektanto"
"remote control","пульт","Teleregilo"
"turn on","включать","ŝalti"
"turn off","выключать","malŝalti"
"click","щёлкать","klaki"
"scroll","прокручивать","rulumi"
"toolbar","панель инструментов","ilbreto"
"multimedia","мультимедиа","multmedio"
"desktop","рабочий стол","labortablo"
"tablet","планшет","tabulkomputilo"
"link","ссылка","Ligilo"
"upload","загружать","alŝuti"
"update","обновлять","ĝisdatigi"
"web","всемирная паутина","Reto"
"surf","искать в интернете","Retumi"
"browser","браузер","Retumilo"
"security","безопасность","sekureco"
"emergency","чрезвычайная ситуация","urĝo"
"police station","полицейский участок","Policejo"
"fire brigade","пожарная команда","Fajrobrigado"
"fire station","пожарная часть","fajrobrigadejo"
"crime","преступление","krimo"
"corruption","коррупция","Korupto"
"fraud","мошенничество","Fraŭdo"
"assault","нападение","atako"
"robbery","грабёж","Rabo"
"right","право","Rajto"
"punishment","наказание","Puno"
"will","завещание","Testamento"
"illegal","незаконный","kontraŭleĝa"
"violate","нарушать","violi"
"jurist","юрист","juristo"
"war","война","Milito"
"soldier","солдат","soldato"
"army","армия","armeo"
"battle","битва","batalo"
"tank","танк","Tanko"
"march","маршировать","marŝi"
"poor","бедный","malriĉa"
"poverty","бедность","malriĉeco"
"homeless","бездомный","Senhejma"
"charity","благотворительность","bonfarado"
"sunny","солнечный","suna"
"rainy","дождливый","pluva"
"damp","сырой","malseka"
"weather forecast","прогноз погоды","Veterprognozo"
"icy","ледяной","glacia"
"earthquake","землетрясение","Tertremo"
"flood","наводнение","Inundo"
"tornado","торнадо","Tornado"
"disaster","бедствие","Katastrofo"
"cave","пещера","kaverno"
"canyon","каньон","Kanjono"
"dune","дюна","Duno"
"landscape","пейзаж","Pejzaĝo"
"coast","побережье","marbordo"
"glacier","ледник","Glaĉero"
"stream","ручей","Rojo"
"canal","канал","kanalo"
"lagoon","лагуна","laguno"
"stone","камень","ŝtono"
"marble","мрамор","marmoro"
"granite","гранит","granito"
"boulder","валун","ŝtonego"
"gold","золото","oro"
"silver","серебро","arĝento"
"steel","сталь","Ŝtalo"
"bronze","бронза","bronzo"
"birch","берёза","betulo"
"stick","палка","Bastono"
"eucalyptus","эвкалипт","Eŭkalipto"
"apricot tree","абрикосовое дерево","abrikotujo"
"mango tree","манговое дерево","Mangarbo"
"avocado tree","дерево авокадо","avokadoarbo"
"grapefruit tree","грейпфрутовое дерево","grapfruktujo"
"lime tree","лаймовое дерево","Limujo"
"sunflower","подсолнух","Sunfloro"
"blossom","цветение","Florado"
"carnation","гвоздика","dianto"
"lavender","лаванда","Lavendo"
"gladiolus","гладиолус","Gladiolo"
"cotton","хлопок","kotono"
"thistle","чертополох","Kardo"
"mistletoe","омела","visko"
"rue","рута","Ruto"
"papyrus","папирус","Papiruso"
"fuchsia","фуксия","fuksio"
"honeysuckle","жимолость","Lonicero"
"agriculture","сельское хозяйство","Agrikulturo"
"plough","плуг","plugilo"
"feed","кормить","nutri"
"sow","сеять","semi"
"crop","сельскохозяйственная культура","rikoltaĵo"
"reap","жать","rikolti"
"plantation","плантация","plantacio"
"camel","верблюд","Kamelo"
"worm","червь","vermo"
"bull","бык","taŭro"
"cattle","крупный рогатый скот","bovoj"
"bison","зубр","bizono"
"mule","мул","mulo"
"peacock","павлин","Pavo"
"ostrich","страус","struto"
"poultry","домашние птицы","kortbirdoj"
"cockatoo","какаду","Kakatuo"
"mouse","мышь","muso"
"hare","заяц","Leporo"
"zebra","зебра","zebro"
"giraffe","жираф","Ĝirafo"
"hedgehog","ёж","erinaco"
"kangaroo","кенгуру","Kanguro"
"wild","дикий","sovaĝa"
"panda","панда","Pando"
"raven","ворон","korvo"
"nightingale","соловей","najtingalo"
"penguin","пингвин","pingveno"
"pelican","пеликан","Pelikano"
"sparrow","воробей","pasero"
"grouse","рябчик","Bonazio"
"toad","жаба","bufo"
"amphibian","амфибия","amfibio"
"newt","тритон","tritono"
"salamander","саламандра","Salamandro"
"bullfrog","лягушка-бык","bovrano"
"whale","кит","Baleno"
"dolphin","дельфин","Delfeno"
"seashell","морская ракушка","Markonko"
"aquatic","водный","akva"
"mosquito","комар","kulo"
"flea","блоха","Pulo"
"louse","вошь","pediko"
"grasshopper","кузнечик","Akrido"
"bug","жук","Skarabo"
"caterpillar","гусеница","raŭpo"
"duckling","утёнок","anasido"
"fawn","оленёнок","Cervido"
"bunny","крольчонок","Kuniklido"
"feather","перо","plumo"
"claw","коготь","ungego"
"horseshoe","подкова","Hufofero"
"trunk","хобот","rostro"
"fur","шерсть","pelto"
"hump","горб","Ĝibo"
"cowshed","коровник","Bovejo"
"sheepfold","овчарня","Ŝafejo"
"birdhouse","скворечник","birdobudeto"
"chicken coop","курятник","kokejo"
"meow","мяуканье","miaŭo"
"purr","мурлыканье","ronronado"
"bark","гавканье","bojado"
"quack","кряканье","kvakado"
"hundred","сто","cent"
"thirty","тридцать","tridek"
"forty","сорок","kvardek"
"fifty","пятьдесят","kvindek"
"sixty","шестьдесят","sesdek"
"seventy","семьдесят","sepdek"
"eighty","восемьдесят","Okdek"
"ninety","девяносто","naŭdek"
"number","номер","Numero"
"first","первый","unua"
"second","второй","Dua"
"third","третий","tria"
"fourth","четвёртый","kvara"
"fifth","пятый","kvina"
"sixth","шестой","sesa"
"seventh","седьмой","sepa"
"eighth","восьмой","oka"
"ninth","девятый","naŭa"
"tenth","десятый","deka"
"purple","пурпурный","purpura"
"beige","бежевый","beĝa"
"violet","фиолетовый","viola"
"indigo","индиго","indigo"
"fuchsia","фуксия","fuksio"
"maroon","тёмно-бордовый","kastanbruna"
"month","месяц","monato"
"January","январь","Januaro"
"February","февраль","Februaro"
"March","март","marto"
"April","апрель","aprilo"
"May","май","Majo"
"June","июнь","junio"
"July","июль","julio"
"August","август","Aŭgusto"
"September","сентябрь","Septembro"
"October","октябрь","Oktobro"
"November","ноябрь","Novembro"
"December","декабрь","decembro"
"future","будущее","estonteco"
"early","рано","frue"
"past","прошлое","pasinteco"
"period","период","Periodo"
"present","настоящее","nuno"
"late","поздно","malfrue"
"long","длинный","longa"
"high","высокий","alta"
"short","короткий","mallonga"
"low","низкий","malalta"
"size","размер","grandeco"
"huge","огромный","grandega"
"tiny","крошечный","eta"
"medium","средний","meza"
"weight","вес","pezo"
"weigh","взвешивать","pesi"
"milligram","миллиграмм","miligramo"
"microgram","микрограмм","Mikrogramo"
"people","люди","homoj"
"liar","лжец","Mensogulo"
"fool","дурак","Stultulo"
"millionaire","миллионер","Milionulo"
"crowd","толпа","homamaso"
"genius","гений","geniulo"
"celebrity","знаменитость","famulo"
"group","группа","Grupo"
"public","публика","publiko"
"smoke","дым","Fumo"
"kiss","поцелуй","Kiso"
"bubbles","пузырьки","bobeloj"
"dust","пыль","polvo"
"foam","пена","ŝaŭmo"
"hug","объятие","Brakumo"
"fire","огонь","fajro"
"luck","удача","bonŝanco"
"chance","шанс","ŝanco"
"destiny","судьба","destino"
"fame","известность","famo"
"imagination","воображение","imago"
"glory","слава","gloro"
"soul","душа","animo"
"thought","мысль","penso"
"memory","память","memoro"
"idea","идея","ideo"
"apology","извинение","Pardonpeto"
"communication","общение","Komunikado"
"discussion","обсуждение","diskuto"
"joke","шутка","ŝerco"
"laughter","смех","rido"
"conflict","конфликт","konflikto"
"enter","входить","eniri"
"drop","ронять","faligi"
"use","использовать","uzi"
"follow","следовать","sekvi"
"arrive","прибывать","alveni"
"exit","выходить","eliri"
"fill","наполнять","plenigi"
"leave","уходить","foriri"
"hang","вешать","pendigi"
"rub","тереть","froti"
"kick","пинать","piedbati"
"hop","скакать","Salteti"
"clear","чистить","purigi"
"drag","тащить","treni"
"slip","поскользнуться","gliti"
"lead","руководствовать","gvidi"
"choose","выбирать","elekti"
"forbid","запрещать","malpermesi"
"include","включать в","inkludi"
"exclude","исключать из","ekskludi"
"limit","ограничивать","limigi"
"comment","комментировать","Komenti"
"explain","объяснять","klarigi"
"discuss","обсуждать","diskuti"
"tell","сказать","diri"
"communicate","общаться","komuniki"
"formulate","формулировать","formuli"
"guess","угадывать","diveni"
"collect","коллекционировать","kolekti"
"discover","обнаруживать","malkovri"
"calculate","подсчитывать","kalkuli"
"classify","классифицировать","klasifiki"
"know","знать","scii"
"teach","преподавать","instrui"
"think","думать","pensi"
"study","учиться","lerni"
"help","помогать","helpi"
"invite","приглашать","inviti"
"meet","встретить","renkonti"
"ignore","игнорировать","ignori"
"trust","доверять","fidi"
"bother","беспокоить","ĝeni"
"disagree","не соглашаться","Malkonsenti"
"miss","скучать","sopiri"
"begin","начинать","Komenci"
"win","выигрывать","gajni"
"grow","расти","kreski"
"become","становиться","fariĝi"
"try","пробовать","provi"
"fail","терпеть неудачу","malsukcesi"
"plan","планировать","Plani"
"finish","заканчивать","fini"
"create","создавать","krei"
"type","печатать","Tajpi"
"form","формировать","formi"
"combine","сочетать","kombini"
"pack","упаковывать","paki"
"live","жить","vivi"
"be","быть","esti"
"have","иметь","havi"
"relax","расслабиться","malstreĉiĝi"
"love","любить","ami"
"hope","надеяться","esperi"
"want","хотеть","voli"
"hate","ненавидеть","malami"
"light","лёгкий","leĝera"
"wet","мокрый","malseka"
"heavy","тяжёлый","peza"
"open","открытый","malfermita"
"closed","закрытый","fermita"
"broken","разбитый","rompita"
"sticky","липкий","glueca"
"pregnant","беременная","graveda"
"free","свободный","libera"
"unknown","неизвестная","nekonata"
"anonymous","анонимный","anonima"
"ironic","ироничный","ironia"
"well-known","широко известная","famkonata"
"historic","исторический","historia"
"amazing","поразительный","mirinda"
"artistic","художественный","arta"
"original","оригинальный","originala"
"symbolic","символический","simbola"
"satirical","сатирический","satira"
"exceptional","исключительный","escepta"
"realistic","реалистический","realisma"
"other","другой","alia"
"powerful","мощный","potenca"
"special","особый","speciala"
"main","основной","ĉefa"
"additional","дополнительный","aldona"
"mixed","смешанный","miksita"
"extreme","экстремальный","ekstrema"
"secret","секретный","sekreta"
"loud","громкий","laŭta"
"ready","готовый","preta"
"public","публичный","publika"
"social","общественный","socia"
"typical","типичный","tipa"
"always","всегда","ĉiam"
"never","никогда","neniam"
"often","часто","ofte"
"sometimes","иногда","Kelkfoje"
"usually","обычно","kutime"
"occasionally","изредка","fojfoje"
"rarely","редко","malofte"
"well","хорошо","bone"
"really","действительно","vere"
"easily","легко","facile"
"badly","плохо","malbone"
"clearly","очевидно","evidente"
"honestly","честно","honeste"
"simply","просто","Simple"
"happily","охотно","Volonte"
"beautifully","красиво","bele"
"legally","законно","leĝe"
"fairly","справедливо","juste"
"successfully","успешно","sukcese"
"calmly","спокойно","Trankvile"
"proudly","гордо","Fiere"
"strongly","мощно","forte"
"more","более","pli"
"most","самый","plej"
"less","менее","malpli"
"least","наименьший","plej malgranda"
"mine","моя","mia"
"ours","наша","nia"
"hers","её","ŝia"
"theirs","их","ilia"
"his","его","lia"
"yours","твоя","la via"
"yours","ваша","via"
"its","этого","ĝia"
"up","наверху","Supre"
"at","в","ĉe"
"above","над","super"
"down","внизу","malsupre"
"through","сквозь","tra"
"below","ниже","malsupre"
"because","потому что","ĉar"
"while","в то время как","dum"
"so that","так чтобы","por ke"
"once","как только","tuj kiam"
"this","это","ĉi tio"
"that","то","tio"
"these","эти","ĉi tiuj"
"those","те","tiuj"
"far","дальний","malproksima"
"close","близкий","proksima"
"invisible","невидимый","nevidebla"
"lucky","везучий","bonŝanca"
"visible","видимый","videbla"
"usual","обычный","kutima"
"unusual","необычный","nekutima"
"unlucky","невезучий","malŝanca"
"liquid","жидкий","likva"
"stable","стабильный","stabila"
"solid","твёрдый","solida"
"separate","отдельный","aparta"
"united","объединённый","unuigita"
"unstable","нестабильный","malstabila"
"vast","обширный","Vasta"
"detailed","детальный","detala"
"hidden","спрятанный","kaŝita"
"consecutive","последовательный","sinsekva"
"universal","универсальный","universala"
"use","использование","uzo"
"interest","интерес","intereso"
"variant","вариант","varianto"
"comfort","комфорт","Komforto"
"hurry","спешка","Hasto"
"uncle","дядя","Onklo"
"aunt","тётя","onklino"
"cousin","двоюродный брат","Kuzo"
"nephew","племянник","Nevo"
"niece","племянница","Nevino"
"relatives","родственники","parencoj"
"court","ухаживать","amindumi"
"couple","пара","Paro"
"flirt","флиртовать","flirti"
"romantic","романтический","Romantika"
"fall in love","влюбляться","enamiĝi"
"habit","привычка","kutimo"
"privacy","уединение","privateco"
"pseudonym","псевдоним","Pseŭdonimo"
"status","статус","statuso"
"autograph","автограф","aŭtografo"
"old","пожилой","maljuna"
"young","молодая","juna"
"mature","взрослый","plenkreska"
"middle-aged","средних лет","mezaĝa"
"long-lived","долго живущий","longviva"
"careful","осторожная","singarda"
"curious","любопытный","Scivolema"
"creative","креативный","kreema"
"lively","оживлённая","vigla"
"respectful","почтительный","respektoplena"
"educated","образованный","edukita"
"characteristic","характеристика","karakterizaĵo"
"humble","скромная","humila"
"professional","профессиональный","profesia"
"conscious","сознательный","konscia"
"respectable","почтенный","Respektinda"
"devoted","преданный","sindona"
"stupid","глупый","stulta"
"aggressive","агрессивный","agresema"
"negative","негативный","negativa"
"selfish","эгоистичная","Egoisma"
"impatient","нетерпеливая","Malpacienca"
"careless","неосторожная","senzorga"
"irresponsible","безответственный","Nerespondeca"
"idle","бездеятельная","senokupa"
"sensitive","чувствительный","sentema"
"inactive","неактивный","neaktiva"
"severe","суровая","severa"
"rebellious","мятежная","ribela"
"bald","лысый","kalva"
"handsome","статный","Belstatura"
"hairy","волосатая","hara"
"attractive","привлекательная","alloga"
"appearance","внешность","aspekto"
"charming","очаровательная","ĉarma"
"unattractive","непривлекательная","malalloga"
"afraid","боящаяся","timanta"
"hopeless","потерявшая надежду","senespera"
"emotional","эмоциональная","emocia"
"furious","разъярённый","Furioza"
"confused","растерянный","konfuzita"
"pleased","довольный","kontenta"
"hopeful","надеющаяся","esperanta"
"hatred","ненависть","malamo"
"doubt","сомнение","Dubo"
"panic","паника","paniko"
"aggression","агрессия","Agreso"
"compassion","сострадание","Kompato"
"satisfaction","удовлетворение","kontentigo"
"familiar","знакомый","Konata"
"perfect","совершенный","Perfekta"
"fantastic","фантастический","fantasta"
"neutral","нейтральный","neŭtrala"
"acceptable","приемлемый","akceptebla"
"unacceptable","неприемлемый","neakceptebla"
"imperfect","несовершенный","Neperfekta"
"unfamiliar","незнакомый","nekonata"
"honour","честь","honoro"
"virtue","достоинство","virto"
"arrogance","высокомерие","aroganteco"
"honesty","честность","Honesteco"
"dishonesty","нечестность","Malhonesteco"
"kindness","доброта","bonkoreco"
"beard","борода","Barbo"
"moustache","усы","lipharoj"
"freckles","веснушки","lentugoj"
"hair","волосы","haroj"
"palm","ладонь","polmo"
"fist","кулак","Pugno"
"wrist","запястье","manradiko"
"forearm","предплечье","Antaŭbrako"
"bile","жёлчь","galo"
"pancreas","поджелудочная железа","Pankreato"
"digestion","пищеварение","digesto"
"appendix","аппендикс","Apendico"
"small intestine","тонкая кишка","maldika intesto"
"large intestine","толстая кишка","dika intesto"
"skull","череп","kranio"
"jaw","челюсть","Makzelo"
"cheekbones","скулы","vangostoj"
"mandible","нижняя челюсть","mandiblo"
"maxilla","верхняя челюсть","makzelo"
"listen","слушать","Aŭskulti"
"stand","стоять","stari"
"smell","нюхать","Flari"
"touch","трогать","tuŝi"
"watch","смотреть","rigardi"
"put","класть","meti"
"taste","попробовать","gustumi"
"stand up","вставать","stariĝi"
"cancer","рак","kancero"
"hangover","похмелье","Postebrio"
"pneumonia","пневмония","Pneŭmonio"
"ulcer","язва","Ulcero"
"appendicitis","аппендицит","Apendicito"
"epidemic","эпидемия","Epidemio"
"dehydration","обезвоживание","senakvigo"
"anorexia","анорексия","Anoreksio"
"contagious","заразный","kontaĝa"
"dandruff","перхоть","Furfuro"
"syndrome","синдром","sindromo"
"perspiration","пот","Ŝvito"
"stomach ache","боль в животе","stomakdoloro"
"dizziness","головокружение","kapturno"
"bandage","повязка","bandaĝo"
"fracture","перелом","Frakturo"
"wounded","раненый","vundita"
"concussion","сотрясение мозга","cerboskuo"
"health insurance","медицинское страхование","sanasekuro"
"procedure","процедура","proceduro"
"complaint","жалоба","Plendo"
"diagnose","диагностировать","diagnozi"
"unhealthy","нездоровый","malsana"
"hospitalize","госпитализировать","hospitaligi"
"prophylaxis","профилактика","profilaktiko"
"consultation","консультация","konsulto"
"surgeon","хирург","kirurgo"
"physician","терапевт","kuracisto"
"psychologist","психолог","Psikologo"
"specialist","специалист","specialisto"
"pharmaceutical","фармацевтический","Farmacia"
"first aid box","аптечка","unuahelpujo"
"side effect","побочный эффект","flankefiko"
"expiry date","срок годности","limdato"
"toothache","зубная боль","Dentdoloro"
"enamel","эмаль","Emajlo"
"dental implant","зубной имплантат","denta implanto"
"dentures","зубные протезы","Dentprotezoj"
"palace","дворец","Palaco"
"bungalow","бунгало","bungalo"
"mansion","особняк","Domego"
"block of flats","многоквартирный дом","Loĝdomo"
"shower curtain","занавеска для душа","Duŝkurteno"
"hot tub","гидромассажная ванна","ĵakuzio"
"urinal","писсуар","pisujo"
"tablecloth","скатерть","Tablotuko"
"napkin","салфетка","Servieto"
"frame","рама","kadro"
"mat","коврик","Mato"
"bench","скамейка","Benko"
"step","ступенька","Ŝtupo"
"corner","угол","Angulo"
"staircase","лестница","Ŝtuparo"
"terrace","терраса","Teraso"
"property","собственность","Posedaĵo"
"dwell","проживать","loĝi"
"homeowner","домовладелец","domposedanto"
"estate agency","агентство недвижимости","nemoveblaĵa agentejo"
"boutique","бутик","Butiko"
"perfumery","парфюмерный магазин","Parfumejo"
"jeweller's","ювелирный магазин","Juvelejo"
"second-hand shop","комиссионный магазин","Brokantejo"
"microphone","микрофон","Mikrofono"
"fax","факс","fakso"
"headphones","наушники","aŭskultiloj"
"appliance","прибор","aparato"
"alarm clock","будильник","Vekhorloĝo"
"lid","крышка","kovrilo"
"toothpick","зубочистка","Dentopikilo"
"vessel","сосуд","ujo"
"grill","гриль","Grililo"
"platter","поднос для блюд","Pleto"
"frying pan","сковорода","Pato"
"kitchenware","кухонная утварь","kuirilaro"
"ladder","стремянка","ŝtupetaro"
"match","спичка","Alumeto"
"lighter","зажигалка","fajrilo"
"barrel","бочка","Barelo"
"coloured pencil","цветной карандаш","kolora krajono"
"stationery","канцтовары","skribilaro"
"correction fluid","корректор","korektilo"
"highlighter","текстовыделитель","tekstomarkilo"
"marker pen","маркер","markilo"
"puppet","марионетка","Marioneto"
"roly-poly","неваляшка","tumblulo"
"windmill","вертушка","ventorado"
"doll's house","кукольный домик","Pupdomo"
"nail varnish","лак для ногтей","Ungolako"
"cologne","одеколон","odekolono"
"nail varnish remover","жидкость для снятия лака","ungolakforigilo"
"cotton pad","косметический диск","Vatdisko"
"hygiene","гигиена","Higieno"
"mouthwash","ополаскиватель для полости рта","buŝakvo"
"conditioner","кондиционер для волос","harbalzamo"
"cotton swab","ватная палочка","vatbastoneto"
"lock","замок","Seruro"
"nut","гайка","Ŝraŭbingo"
"tap","смеситель","krano"
"bolt","болт","Bolto"
"goods","товары","varoj"
"cost","стоимость","kosto"
"discount","скидка","Rabato"
"shopping","шопинг","butikumado"
"price tag","ценник","Prezetikedo"
"price","цена","prezo"
"account","учётная запись","Konto"
"sale","распродажа","soldo"
"offer","предложение","oferto"
"order","заказ","Mendo"
"watermelon","арбуз","Akvomelono"
"plum","слива","Pruno"
"date","финик","Daktilo"
"mango","манго","Mango"
"fig","инжир","Figo"
"melon","дыня","Melono"
"stone","косточка","Kerno"
"aubergine","баклажан","Melongeno"
"spinach","шпинат","Spinaco"
"radish","редиска","Radiso"
"asparagus","спаржа","Asparago"
"marrow","кабачок","kukurbeto"
"breast","грудка","brustaĵo"
"steak","стейк","Bifsteko"
"veal","телятина","bovidaĵo"
"poultry","мясо домашней птицы","Kortbirdaĵo"
"catfish","сом","Siluro"
"herring","сельдь","haringo"
"tuna","тунец","Tinuso"
"scallop","гребешок","Pekteno"
"dough","тесто","Pasto"
"yeast","дрожжи","gisto"
"croissant","круассан","Kruasano"
"crust","корка","krusto"
"grains","злаки","cerealoj"
"anise","анис","Anizo"
"pod","стручок","Guŝo"
"corncob","кукурузная кочерыжка","Maizkobo"
"ginger","имбирь","zingibro"
"chilli","красный перец","ĉilio"
"cinnamon","корица","cinamo"
"vanilla","ваниль","vanilo"
"paprika","паприка","Papriko"
"condiments","приправы","kondimentoj"
"dessert","десерт","Deserto"
"main course","основное блюдо","ĉefplado"
"starter","закуска","Antaŭmanĝaĵo"
"aperitif","аперитив","Aperitivo"
"popcorn","попкорн","Pufmaizo"
"sushi","суши","suŝio"
"spaghetti","спагетти","Spagetoj"
"chips","картофель фри","fritoj"
"pickles","соления","Pikloj"
"cheeseburger","чизбургер","Fromaĝburgero"
"hot dog","хот-дог","Hotdogo"
"heat","греть","varmigi"
"recipe","рецепт","Recepto"
"cool","остужать","malvarmigi"
"freeze","замораживать","frostigi"
"defrost","размораживать","malfrostigi"
"appetite","аппетит","Apetito"
"tender","нежный","Tenera"
"tough","жёсткий","malmola"
"stale","чёрствый","malfreŝa"
"smell","запах","odoro"
"drink","напиток","Trinkaĵo"
"potable","питьевой","Trinkebla"
"unpotable","непитьевой","netrinkebla"
"teabag","чайный пакетик","teosaketo"
"smoothie","смузи","Smuĉio"
"wine","вино","vino"
"beer","пиво","biero"
"vodka","водка","vodko"
"whisky","виски","viskio"
"dress","одеваться","Vestiĝi"
"loose","свободный","larĝa"
"undress","раздеваться","Malvestiĝi"
"tight","тугой","streĉita"
"costume","костюм","Kostumo"
"clothes","одежда","vestoj"
"chain","цепочка","ĉeneto"
"necklace","ожерелье","kolĉeno"
"bracelet","браслет","braceleto"
"watch","наручные часы","Brakhorloĝo"
"pendant","кулон","Pendaĵo"
"jewellery","ювелирные изделия","juveloj"
"braid","заплетать","plekti"
"straighten","выпрямлять","Rektigi"
"curl","накручивать","bukligi"
"comb","расчёсывать","kombi"
"brush","расчёсывать щёткой","brosi"
"iron","гладить утюгом","Gladi"
"thimble","напёрсток","fingringo"
"fit","подойти","taŭgi"
"hanger","вешалка","Pendigilo"
"stitch","стежок","Stebo"
"sew","шить","kudri"
"seam","шов","kudro"
"tape measure","сантиметр","Mezurbendo"
"education","образование","edukado"
"knowledge","знания","scio"
"homework","домашнее задание","Hejmtasko"
"task","задача","tasko"
"term","семестр","semestro"
"admit","допускать","allasi"
"faculty","факультет","fakultato"
"campus","студенческий городок","kampuso"
"graduate","оканчивать","diplomiĝi"
"university","университет","universitato"
"mathematics","математика","matematiko"
"multiply","умножать","multipliki"
"add","прибавлять","aldoni"
"subtract","вычитать","Subtrahi"
"divide","делить","dividi"
"count","считать","kalkuli"
"electricity","электричество","elektro"
"force","сила","Forto"
"physics","физика","fiziko"
"speed","скорость","rapido"
"gravity","гравитация","Gravito"
"Universe","Вселенная","Universo"
"Milky Way","Млечный Путь","Lakta Vojo"
"astronomy","астрономия","astronomio"
"galaxy","галактика","galaksio"
"solar system","солнечная система","sunsistemo"
"molecule","молекула","molekulo"
"gas","газ","gaso"
"chemistry","химия","kemio"
"substance","вещество","Substanco"
"biology","биология","biologio"
"cell","клетка","ĉelo"
"evolution","эволюция","Evoluo"
"microscope","микроскоп","Mikroskopo"
"island","остров","Insulo"
"geography","география","geografio"
"peninsula","полуостров","Duoninsulo"
"continent","материк","Kontinento"
"subcontinent","субконтинент","subkontinento"
"mountain range","горная цепь","montaro"
"question","вопрос","Demando"
"grammar","грамматика","gramatiko"
"sentence","предложение","Frazo"
"phrase","фраза","Frazo"
"geographer","географ","Geografo"
"linguist","лингвист","Lingvisto"
"chemist","химик","kemiisto"
"biologist","биолог","Biologo"
"writer","писатель","verkisto"
"poet","поэтесса","Poetino"
"dancer","танцовщица","Dancistino"
