row	batch	esperanto	severity	flags	score_zh	score_ko	Japanese_Trans	Chinese_Trans	Korean_Trans
1176	1101-1200	normala	low	scope_ko:13	8	13	{Ｂ}正常な, 正規の, 普通の, 標準的な; 【数】垂直の; 【統】正規の	正常的，标准的；（数）垂直的；（统）正态的	정상적인, 보통의, 표준적인
1177	1101-1200	noto	low	scope_zh:13|scope_ko:18	13	18	{Ｂ}覚え書, メモ; （本の）注, 注解; （学業の）評点; 【楽】音符; 《転》様子, 調子	笔记，摘记；注释；评语	메모, 짧은 기록
1185	1101-1200	nun	low	scope_zh:13|scope_ko:13	13	13	{Ｂ}［副］いま（今）, 現在; 今や, その時; さて, では; 現在では, 今では	现在	지금
1189	1101-1200	objekto	low	scope_ko:17	9	17	{Ｂ}物体, もの, 品物, >>aĵo; 対象, 目的, 題材; 【Ｇ】目的語; 【哲】客体, 対象	物体；对象；目的；题材；【语法】宾语	물체, 대상, 목적, 제재, 【문법】목적어
1197	1101-1200	oferi	low	scope_ko:13	11	13	{Ｂ}［他］【宗】（神に）ささげる, 供える; 犠牲にする, 費やす; （人などに）ささげる, 進呈する, >>〜	供奉，献祭；牺牲，贡献	신에게 제물을 바치다, 희생하다
1210	1201-1300	ombro	low	scope_zh:18|scope_ko:17	18	17	{Ｂ}陰（かげ）, 日陰; 影（かげ）, 影法師; 陰影, 暗部; 《転》闇, かげり; 亡霊	阴影	그늘, 그림자
1211	1201-1300	ondo	low	scope_zh:14|scope_ko:14	14	14	{Ｂ}波; 波状のもの; 《転》波, うねり; 【理】波	波浪，浪潮	물결, 파도
1218	1201-1300	ordo	low	scope_zh:34|scope_ko:22	34	22	{Ｂ}順序, 順番, 序列; 秩序, 整頓; 社会秩序, 治安; 【数】次数; 【軍】隊形; 【建】オーダー, 柱式; 【生】（分類学上の）目（もく）	次序，秩序	순서, 질서, 【군사】대형, 【건축】주식(柱式), 【생물】목(目)
1220	1201-1300	orelo	low	scope_zh:14|scope_ko:14	14	14	{Ｂ}耳; 耳状のもの; 【解】耳; 《転》聴覚	耳朵	귀
1222	1201-1300	organo	low	scope_zh:15|scope_ko:15	15	15	{Ｂ}【解】器官, 臓器; 【機】装置; 機関紙, 機関誌; （国家・政党などの）機関, 機構	器官；机关报	몸 안의 기관, 장기
1228	1201-1300	oro	low	scope_zh:20|scope_ko:22	20	22	{Ｂ}金, 黄金, 金貨; 【化】金; 《転》富, 金銭; （金のように）貴重なもの; 【遊】（将棋の）金将	金；金钱	금, 황금
1251	1201-1300	paradizo	low	scope_zh:15|scope_ko:16	15	16	{Ｂ}【宗】天国, >>Edeno, >>sukavato; 《転》極楽, 楽園	乐园，天堂，天国	천국, 낙원
1255	1201-1300	parko	low	scope_zh:13|scope_ko:16	13	16	{Ｂ}公園; 大庭園; 狩猟園; （軍・工業）集積所, 置き場; 【車】駐車場	公园；临时汽车停放场	공원
1259	1201-1300	partio	low	scope_zh:17|scope_ko:13	17	13	{Ｂ}【政】党, 政党; 陣営, 党派; （訴訟・契約の）当事者; 【遊】勝負, 競技	党，政党	정치적으로 같은 입장을 가진 집단, 정당
1260	1201-1300	parto	low	scope_zh:12	12	9	{Ｂ}部分, 一部; 分け前, 分担; 【楽】声部, パート	（整体的）一部分	전체의 한 부분, 몫
1270	1201-1300	patrono	low	scope_ko:12	5	12	{Ｂ}後援者, （芸術家の）保護者, パトロン, >>sponsoro; 【キ】守護聖人	保护人，监护人；赞助人；守护神	후원자
1271	1201-1300	paĝo	low	scope_zh:12	12	9	{Ｂ}【印】ページ, 紙面, 誌面; 《転》（歴史上の）事件, 時期, （作品の）一節	页（一面）	책의 한 면, 페이지
1274	1201-1300	peco	low	scope_zh:12|scope_ko:13	12	13	{Ｂ}一片, 一切れ, 一つ; 破片, 断片; （機械などの）部品; （全体の中の）一部分, 一品; （芸術）作品	片，块；件	전체에서 떼어낸 한 조각
1277	1201-1300	peli	low	scope_zh:13	13	10	{Ｂ}［他］追う, 追いたてる; 追いかける; （状態に）駆り立てる, 追いやる; 【機】駆動する	赶，驱	가축이나 사람을 쫓아 몰다, 내쫓다
1292	1201-1300	periodo	low	scope_zh:17	17	11	{Ｂ}期間, 時期, 時代; 【理】周期; 【地質】紀; 【修】総合文	周期，时期，时代，阶段	기간, 시기; (물리) 주기; (지질) 기
1297	1201-1300	persisti	low	scope_zh:15|scope_ko:14	15	14	{Ｂ}［自］根気よく続ける, 頑張る, ねばる, 固執する, >>〜, >>obstini; 持続する, 長く残る	坚持（不懈）	끈질기게 계속되다
1298	1201-1300	persono	low	scope_zh:12|scope_ko:13	12	13	{Ｂ}人（個人）, 人物; 【劇】登場人物; 【Ｇ】人称	人，个人	사람
1306	1301-1400	piedo	low	scope_zh:18|scope_ko:15	18	15	{Ｂ}【解】足（足首から先）; （一般に）足, （動物の）脚; （物体の）脚部, 下部, 基部; 【文】詩脚	脚	발, 발목부터 끝까지의 부분
1313	1301-1400	pinĉi	low	scope_ko:13	8	13	{Ｂ}［他］（指などで）つまむ, はさむ, つねる; （動物が草を）はむ; （芽などを）摘む; 【楽】（琴などを）つま弾く	捏，夹，掐，拧，啃，弹，拨	손가락으로꼬집다, 집다
1314	1301-1400	pioniro	low	scope_ko:13	5	13	{Ｂ}開拓者, パイオニア; 先駆者, 草分け; 【軍】工兵; （旧ソ連の）ピオネール	工兵；拓荒者；先锋；创始者	선구자, 개척자
1320	1301-1400	plafono	low	scope_zh:18|scope_ko:14	18	14	{Ｂ}天井; 【気】雲高; 【空】上昇限度; 《転》最高限度, 上限	天花板	건물 안쪽 위를 덮는 천장
1323	1301-1400	plano	low	scope_ko:13	9	13	{Ｂ}計画, 設計, 立案, 構想; 設計図, 見取り図; （絵画・写真での）景, 遠近; 【映】ショット, カット	平面图；计划；景深；镜头	계획, 설계도, 【영화】쇼트
1338	1301-1400	plumo	low	scope_zh:12|scope_ko:12	12	12	{Ｂ}羽根, 羽毛, >>lanugo; 鵞ペン, 羽根ペン; ペン, ペン先	羽毛，钢笔（尖）	새의 깃털
1357	1301-1400	porti	low	scope_zh:12|scope_ko:15	12	15	{Ｂ}［他］持っている（運ぶ）, 抱えている; 持ち運ぶ, 持って行く; 身につけている, 携帯する; （責任などを）負う, 担う; （心に）抱く	携带；搬运，载	운반하다, 지니다
1363	1301-1400	potenco	low	scope_zh:15|scope_ko:17	15	17	{Ｂ}威力, 強さ; 勢力, 権力, 支配力; 《転》強国; 【数】累乗, べき	力量，权力，权，政权	힘, 권력
1377	1301-1400	preni	low	scope_ko:12	3	12	{Ｂ}［他］手に取る, つかむ; 取りあげる, 奪い取る; 取る, 得る, 選ぶ; 受け取る, 受け入れる; ～を～と見なす, 取り違える	拿；取；接受；选择；采用；把…当作	잡다, 취하다, 얻다, 받아들이다, 선택하다, …으로 간주하다
1378	1301-1400	prepari	low	scope_zh:22|scope_ko:22	22	22	{Ｂ}［他］準備する, 用意する, 支度する; 【薬】調合する; 【情】（ディスクを）初期化する, フォーマットする; 覚悟をさせる, 心構えをさせる, >>pretigi	准备，准备好	미리 준비하다
1385	1301-1400	prezenti	low	scope_ko:16	5	16	{Ｂ}［他］差し出す, 見せる, 提示する, 提出する; 紹介する; 思い描く; 描き出す; 上演する, 上映する; （様相を）呈する, 示す	提交；出示；呈现；介绍；描写；演出	보여주다, 제출하다, 소개하다, 묘사하다, 공연하다
1391	1301-1400	princo	low	scope_zh:13|scope_ko:17	13	17	{Ｂ}（小国の）君主, 公; 王子, 皇子, =reĝido; 公爵, >>duko; 《転》第一人者	君主，诸侯；王子，亲王，王侯	군주, 왕자, 공작
1403	1401-1500	profunda	low	scope_zh:14|scope_ko:13	14	13	{Ｂ}深い, 底の深い, 奥深い; 深部に達する, 深々とした; 《転》深遠な, 深層の; 深刻な, 根深い, 極度の	深，深刻，深远，深沉	물리적으로 깊은, 또는 사상·감정이 심오한
1404	1401-1500	programo	low	scope_zh:12|scope_ko:17	12	17	{Ｂ}プログラム, 演目, 式次第, 番組; 日程, 予定; 学習計画, 授業計画; 【政】綱領; 【情】プログラム	程序表，节目单；大纲，提纲；议程；程序	프로그램; 진행 순서나 일정 계획
1432	1401-1500	punkto	low	scope_zh:16|scope_ko:17	16	17	{Ｂ}点; 地点; 句点; 要点; 【数】点; 【印】（活字の）ポイント; 【情】ピリオド, ドット（．）	点；地点；句点；要点；（数）点	점, 지점, 마침표, 요점, 【수학】점, 【인쇄】포인트
1433	1401-1500	pupo	low	scope_zh:19|scope_ko:19	19	19	{Ｂ}人形; 指人形, =〜; 【虫】さなぎ（蛹）; 《転》（軽蔑的に）お人形, >>marioneto	洋娃娃，木偶	장난감 인형
1434	1401-1500	pura	low	scope_zh:15|scope_ko:16	15	16	{Ｂ}混じりけのない, 純粋な, 澄んだ; 清らかな, 清潔な, きれいな; 純真な, 純潔な; 【宗】清められた, 清浄な	纯；干净	섞임 없는 깨끗한
1440	1401-1500	radiko	low	scope_zh:14|scope_ko:12	14	12	{Ｂ}根（ね）; 根元（ねもと）; 《転》根本; 【Ｇ】語根; 【数】根（こん）	根；词根；方根	뿌리; (언어) 어근; (수학) 근
1441	1401-1500	radio	low	scope_zh:21|scope_ko:25	21	25	{Ｂ}光線; 【理】（熱線・Ｘ線などの）線, 放射線; 放射状のもの; 【数】半径; 【機】スポーク; 《転》光明, 輝き / ラジオ放送; ラジオ放送局; =>ラジオ受信機	光线，射线；无线电广播；收音机；广播电台；半径；辐条	빛의 줄기, 광선；라디오（방송）；（수학） 반지름；바퀴살
1453	1401-1500	rato	low	scope_zh:13	13	7	{Ｂ}【動】クマネズミ（熊鼠）（属）, ドブネズミ（溝鼠）; 《般》（比較的大型の）ネズミ, >>〜	家鼠	쥐, 특히 집이나 하수구에 사는 큰 쥐
1456	1401-1500	re-	low	scope_zh:12|scope_ko:12	12	12	{Ｂ}［接頭辞］（再び・元へを示す）, >>〜vidi, >>〜foje, >>〜doni, >>〜brili	返回；再，重新	다시 함, 되돌아감을 나타내는 접두사
1462	1401-1500	redukti	low	scope_zh:14|scope_ko:22	14	22	{Ｂ}［他］削減する, 縮小する, 縮写する; （人を悪い状態に）追いやる; 【写】減力する; 【化】還元する; 【医】整復する	减少，减小，缩小，降低；使成为；使还原	줄이다, 축소하다
1465	1401-1500	regiono	low	scope_zh:13|scope_ko:12	13	12	{Ｂ}（地理的な）地方, 地域; 【解】（身体の）部位; 《転》領域, 範囲, 分野	地区，区域	지역, 지방, 영역
1466	1401-1500	regno	low	scope_zh:21|scope_ko:19	21	19	{Ｂ}【法】（国際関係上の主権を有する）国, 国家, >>〜, >>〜, >>〜; 【生】（分類学上の）界	国，国家	주권을 가진 국가, 나라
1469	1401-1500	rekta	low	scope_zh:15|scope_ko:16	15	16	{Ｂ}まっすぐな, 一直線の; 直立した, 垂直の, >>〜; 直接の, 直行の, >>senpera	直，直达，直接	곧은, 일직선인
1477	1401-1500	renversi	low	scope_ko:12	7	12	{Ｂ}［他］逆さにする, 転覆させる, ひっくり返す; 倒す, 転倒させる; 《転》（秩序などを）覆す, 打倒する	翻转，颠倒，推翻；颠覆	뒤엎다
1486	1401-1500	revizii	low	scope_zh:21|scope_ko:23	21	23	{Ｂ}［他］検査する; 再検討する, 見直す, 修正する; 【印】校正する, 校訂する, 校閲する; 【法】再審する; 【機】保守点検する	检查；校订，核对	검사하거나 재검토하여 수정하다
1487	1401-1500	revuo	low	scope_ko:17	11	17	{Ｂ}専門雑誌, 評論雑誌; 評論; 【軍】閲兵, 閲兵式; 【劇】レビュー, 風刺劇	检阅；述评，综述；杂志	전문 잡지
1492	1401-1500	reĝimo	low	scope_zh:23|scope_ko:22	23	22	{Ｂ}【政】政体; 制度, 体制; 【機】作動状態; 【情】モード, >>enŝova, >>superskriba	政体，政治制度；制度	정치 체제, 또는 일정한 지배 제도
1493	1401-1500	reĝo	low	scope_zh:14	14	11	{Ｂ}王, 国王; 《転》王者, 第一人者; 【遊】（トランプやチェスの）キング, （将棋の）王将, 玉将	王，国王	나라를 다스리는 최고 지배자, 국왕
1494	1401-1500	ricevi	low	scope_zh:14|scope_ko:14	14	14	{Ｂ}［他］受け取る, もらう, 得る; 受ける, 受け入れる; こうむる, 経験する; 【通】受信する	收到，得到，受	물건·편지·신호 등을 받다
1498	1401-1500	rigardi	low	scope_ko:13	9	13	{Ｂ}［他］見る, 眺める, 注目する, 目を向ける; 確かめる, 注意を向ける; 考える, みなす; 面している, 向いている	看；看待；面向	보다, 간주하다, 향하다
1509	1501-1600	ripo	low	scope_zh:18|scope_ko:22	18	22	{Ｂ}【解】肋骨（ろっこつ）, あばら骨; 【植】葉脈, =nervuro; 【織】うね; 【機】リブ, 補強材; 【海】肋材	肋骨；【植】叶脉；【机】肋板，加强筋	갈비뼈, 【식물】잎맥, 【기계】리브, 보강재
1513	1501-1600	ritmo	low	scope_ko:13	7	13	{Ｂ}リズム, 律動, 周期的変動; 【楽】リズム; 【文】韻律	律动；韵律，格律；节奏	음악적 리듬
1515	1501-1600	rizo	low	scope_ko:12	8	12	{Ｂ}【植】イネ（稲）（種）; 《般》米（粒）; 【料】米飯, ライス	稻属植物；稻粒，大米；米饭	벼에서 얻는 곡물, 쌀
1520	1501-1600	romano	low	scope_zh:13|scope_ko:15	13	15	{Ｂ}小説, 長編小説, ロマン; 【史】ロマンス（中世の騎士物語） / 【史】ローマ人; ローマ市民	长篇小说；传奇故事	장편 소설
1521	1501-1600	rompi	low	scope_zh:12|scope_ko:12	12	12	{Ｂ}［他］破壊する（壊す）, 割る, 折る, 破る; 断つ, 断絶する; 《転》（勇気・無関心などを）打ち破る, 打ち砕く	打破，毁坏	깨뜨리다, 부수다
1525	1501-1600	rozo	low	scope_zh:22|scope_ko:22	22	22	{Ｂ}バラ（の花）; 【植】バラ（薔薇）（属）; 《転》バラの花の形をしたもの; 【建】バラ窓; （羅針盤の）方位盤; （じょうろの）散水口	蔷薇属植物（玫瑰、月季等）	장미, 장미꽃
1530	1501-1600	ruĝa	low	scope_zh:17|scope_ko:16	17	16	{Ｂ}赤い, >>skarlata, >>punca, >>roza; 《転》左翼の	红色	붉은, 빨간
1539	1501-1600	salo	low	scope_zh:17|scope_ko:17	17	17	{Ｂ}塩; 【料】食塩; 【化】塩（えん）; 《転》ぴりっとした味, 機知	盐，食盐	소금, 식염
1541	1501-1600	salti	low	scope_zh:16|scope_ko:15	16	15	{Ｂ}［自］跳ぶ, 跳び上がる, 跳躍する; 飛び移る, 飛びのく; 《転》飛躍する; 《転》急増する	跳	뛰어오르다, 도약하다
1546	1501-1600	sango	low	scope_zh:16|scope_ko:18	16	18	{Ｂ}血, 血液; 《転》血統, 血筋; 《転》熱血, 血気; 《転》流血, 殺傷	血；血统	피, 혈액
1553	1501-1600	sceno	low	scope_zh:14|scope_ko:13	14	13	{Ｂ}【劇】場; 《転》場面, 光景, シーン; 《古》=〜ejo	舞台，场，场次	연극이나 공연이 이루어지는 무대
1557	1501-1600	sed	low	scope_zh:18|scope_ko:17	18	17	{Ｂ}［接］しかし, だが, けれども, >>〜, >>kontraŭe, >>male, >>〜	但是	그러나, 하지만
1563	1501-1600	sekso	low	scope_zh:14|scope_ko:12	14	12	{Ｂ}性, 性別; （総称として）男性, 女性; 性に関する事, セックス; 《古》=genro（文法的性）	性，性别	사람의 성별, 남녀의 구분
1566	1501-1600	sekvi	low	scope_ko:12	10	12	{Ｂ}［他］後について行く, つきまとう; 従う, 追従する; 次に来る, 後に続く; （議論などに）ついていく, 注意して聴く	跟随；遵循	뒤따르다, 따라가다
1568	1501-1600	semo	low	scope_zh:19|scope_ko:17	19	17	{Ｂ}【植】種子; 《転》種（たね）; 子だね, =spermo; 《転》子孫, 血族	种子	식물의 씨앗, 종자
1577	1501-1600	serio	low	scope_zh:27|scope_ko:28	27	28	{Ｂ}連続, ひと続き, 続き物, シリーズ; 【化】系列; 【理】直列, >>〜; 【数】級数; 【地質】統（とう）	一系列，一组；合订本	연속된 것, 일련으로 이어짐
1584	1501-1600	severa	low	scope_zh:13|scope_ko:14	13	14	{Ｂ}厳しい, 厳格な; 容赦のない, 過酷な; 猛烈な, 深刻な; 《転》簡素な, 無駄のない	严厉，严酷，严格	엄격한, 가혹한
1588	1501-1600	sidi	low	scope_ko:12	8	12	{Ｂ}［自］座っている; 腰掛けている; 止まっている, じっとしている; （ある状態に）ある; （ある場所に）いる, 位置する; （服などが）似合っている	坐着；位于；坐落；（衣服）合身	앉다, 앉아 있다, 자리잡다, 위치하다, （옷이）맞다
1591	1501-1600	signo	low	scope_ko:14	5	14	{Ｂ}しるし, 目印; 合図, 身ぶり; 記号, 符号; 【情】文字, =〜	标记；征兆；痕迹；踪迹；符号	표시, 신호, 기호, 징조
1597	1501-1600	simpla	low	scope_zh:13|scope_ko:15	13	15	{Ｂ}単純な, 簡単な; 単一の; 単なる, ただの; 簡素な, 飾りけのない; 純朴な, お人よしの	单一；简单	단순한, 간단한
1601	1601-1700	sistemo	low	scope_zh:17|scope_ko:15	17	15	{Ｂ}体系, システム, 系統; 制度, 組織, 方式; 【理】系; 【学】単位系	体系，系统，制度	유기적으로 짜인 전체 구조, 체계
1602	1601-1700	situacio	low	scope_zh:12|scope_ko:12	12	12	{Ｂ}事態, 局面, 情勢; （社会的）位置, 立場, 状況; 【劇】場面, シチュエーション	（常指不利的）处境，状况，局面	형편, 처지, 상황
1603	1601-1700	skalo	low	scope_zh:13|scope_ko:14	13	14	{Ｂ}尺度, 目盛, 縮尺; 《転》規模, スケール; 【楽】=gamo（音階）	等级，刻度，比例（尺）	눈금, 척도
1608	1601-1700	skribi	low	scope_zh:14|scope_ko:12	14	12	{Ｂ}［他］書く, 記す; 書き表す, 記述する; 手紙を書く; 【情】書き込む	写	글을 쓰다, 적다
1617	1601-1700	sojlo	low	scope_zh:17|scope_ko:17	17	17	{Ｂ}【建】敷居; 門口; 【理】しきい値; 《転》始まり, 出発点	门槛，槛	문턱, 시작점
1630	1601-1700	sovaĝa	low	scope_ko:12	11	12	{Ｂ}野生の; 未開の; 野蛮な; 《転》粗野な, 粗暴な	野生，原始	야생의
1640	1601-1700	spiri	low	scope_zh:12	12	10	{Ｂ}［自］呼吸する, 息をする; ひと息つく; 《転》発散する, 表す, =〜	呼吸	숨을 쉬다, 호흡하다
1641	1601-1700	spirito	low	scope_zh:26|scope_ko:25	26	25	{Ｂ}精神（霊魂）, 霊, 心; 魂, 霊魂, 亡霊; 精, 精霊; 気風, 気質, >>〜, >>〜, >>〜	精神（反：物质），灵魂	정신, 영혼, 기풍
1645	1601-1700	stacio	low	scope_ko:15	11	15	{Ｂ}駅, 停車場; 保養地, 滞在地; 放送局, 電話局, 観測所; 局, 署, 所, 施設	车站；站，台，局	역, 정거장
1648	1601-1700	standardo	low	scope_zh:12	12	9	{Ｂ}（国家・軍隊などを象徴する）旗, 国旗, 軍旗, 連隊旗, 団旗; 《転》旗印, >>〜	国旗，党旗等	국가·군대를 상징하는 깃발, 국기, 군기
1649	1601-1700	stango	low	scope_ko:12	9	12	{Ｂ}棒（さすまた等）, さお, 柱, >>〜, >>〜, >>〜	竿，杆，柱，棒，棍，柄	막대기, 장대, 기둥
1657	1601-1700	stilo	low	scope_ko:13	11	13	{Ｂ}文体; 【建】【服】様式; 流儀, スタイル	文笔，文风，风格	문체
1659	1601-1700	stranga	low	scope_zh:22|scope_ko:23	22	23	{Ｂ}奇妙な, 変な, 不思議な, おかしい, 異様な, >>bizara, >>〜, >>originala, >>ekstravaganca, >>〜	奇怪，奇异，奇特	이상한, 기묘한
1669	1601-1700	subjekto	low	scope_ko:13	6	13	{Ｂ}主題, 題目, 論題; 【Ｇ】主語; 【哲】主体	主语；主体，自我；病人，受验者	주제, 논제
1680	1601-1700	sumo	low	scope_ko:14	8	14	{Ｂ}合計, 総計; 金額, 総額; 【数】和; （学問的）集大成, 大全	和数，总合；钱数；概要	합계, 총액
1689	1601-1700	surtuto	low	scope_zh:12	12	11	{Ｂ}【服】オーバー（外套）, 外套（がいとう）, コート, >>〜, >>kaftano	（男式）大衣，外套	남성용 외투, 코트
1703	1701-1800	talio	low	scope_zh:13	13	10	{Ｂ}（人体・服の）胴, 胴体; 腰回り, 腰（のくびれた部分）, ウエスト, >>〜, >>〜	腰，腰部	허리, 옷에서 허리가 되는 부분
1721	1701-1800	tempo	low	scope_zh:18|scope_ko:17	18	17	{Ｂ}時間, 時; 時代, 時期, ころ; 【学】標準時; 【Ｇ】時制	时间	시간, 때
1724	1701-1800	teni	low	scope_ko:16	7	16	{Ｂ}［他］手に持っている, つかんでいる, 腕に抱えている; 支える, つなぎとめる; 保有する, 保管する, 取っておく; （～の状態に）保つ, しておく, 維持する; 養う, 飼う	持，握；容纳；保持；维持；饲养	손에 들고 잡다, 유지하다, 기르다
1728	1701-1800	tereno	low	scope_zh:18|scope_ko:17	18	17	{Ｂ}（特定用途に仕切られた）土地, 用地, 敷地, 区画, 地域, ～場; 地所; 《転》領域, 分野, 活動の場, 地歩, >>〜; 【地質】地層	（用于特定活动的）地面，场所，场地；《转》领域，阵地	특정한 목적을 위한 땅, 부지, 장소, 《전》영역, 분야
1729	1701-1800	teritorio	low	scope_zh:14|scope_ko:15	14	15	{Ｂ}【政】領土, 領地; 管轄区域, 管区, 地域; 【動】縄張り, テリトリー	领土，版图，国土	영토, 세력권
1731	1701-1800	tero	low	scope_zh:21|scope_ko:21	21	21	{Ｂ}地球; 地面, 地表, 大地; 陸, 陸地; 土地; 土, 土壌; （天国に対して）現世; 地上の人々	地，陆地	땅, 지면
1746	1701-1800	tipo	low	scope_zh:19|scope_ko:17	19	17	{Ｂ}型, 類型, タイプ; 典型; 原型; 【機】型式; 【印】活字; 【情】字体	典型，典范；类型；字模	유형, 전형; (인쇄) 활자; (정보) 글꼴
1751	1701-1800	tolo	low	scope_zh:12	12	8	{Ｂ}【織】リンネル, リネン, 亜麻布, 麻布; （一般に）布; （製本用）クロース; 画布	布；画布	린넨 계통의 천, 직물; 화포용 천
1756	1701-1800	tono	low	scope_zh:39|scope_ko:36	39	36	{Ｂ}【楽】（一定の音高の）楽音, 音; 【楽】主音, =toniko; 【楽】全音; 【声】声調; 口調, 語調; 色調, 色合い, トーン; 調子; 【写】（画像の）色調	乐音，语调，腔调，色调	소리의 높낮이, 어조; 색조, 톤
1761	1701-1800	trafi	low	scope_zh:15|scope_ko:14	15	14	{Ｂ}［他］（人が）命中させる, 当てる; （物が）命中する, 当たる; （物に）ぶつかる; 《転》（災いなどが）襲う; （偶然に）出くわす	命中，触及	표적을 정확히 맞히다
1764	1701-1800	trajno	low	scope_zh:13|scope_ko:13	13	13	{Ｂ}【鉄】列車, >>vagonaro; 【軍】輜重隊（しちょうたい）, 補給部隊	列车，火车	열차, 기차
1769	1701-1800	tranĉi	low	scope_zh:24|scope_ko:24	24	24	{Ｂ}［他］切る, 断つ; 切り分ける; 《転》横切って進む; 《転》鋭く刺激する; 【遊】（札を）切る; 【運】（ボールを）カットする	砍，切，剪	무언가를 자르거나 베다
1774	1701-1800	treni	low	scope_zh:13|scope_ko:13	13	13	{Ｂ}［他］引きずる, 引きずって行く; 牽引する, 引っぱる; 《転》（つらいことに）耐えて過ごす; 【情】（マウスで）ドラッグする	拖，拉，拽，牵引	끌다, 질질 끌고 가다
1786	1701-1800	trunko	low	scope_zh:33|scope_ko:28	33	28	{Ｂ}【植】幹（みき）; 【解】体幹, 胴体; 【解】幹（かん）; 【数】（円錐台などの）台; 【建】柱身; 【海】錨幹（びょうかん）	（树）干，躯干	나무의 줄기; (인체) 몸통, 체간
1787	1701-1800	truo	low	scope_zh:13|scope_ko:12	13	12	{Ｂ}穴（貫通した穴）, 孔; （動物の）巣穴; 【運】（ゴルフの）ホール; 《転》欠陥	洞，孔，穴	작은 구멍이나 뚫린 곳
1791	1701-1800	tubo	low	scope_zh:24|scope_ko:18	24	18	{Ｂ}管, 筒, パイプ; 筒型容器, チューブ; 【解】管; 【軍】（砲身の）内筒; 【理】電子管, 放電管	管，筒	속이 빈 관, 통, 파이프 모양의 긴 것
1800	1701-1800	turni	low	scope_zh:12	12	9	{Ｂ}［他］回す, 回転させる; 向ける; 裏返す, めくる; 《転》変える	转动，使转到	어떤 것을 돌리거나 방향을 바꾸다
1801	1801-1900	turo	low	scope_zh:14|scope_ko:14	14	14	{Ｂ}塔, やぐら, 鐘楼; 【運】（高飛び込みの）飛び込み台; 【遊】（チェスの）ルーク, （将棋の）飛車	塔，钟楼	탑, 누각
1804	1801-1900	tuŝi	low	scope_ko:18	9	18	{Ｂ}［他］触れる, さわる, 接触する; （物が）接する, とどく; 手荒に扱う, 傷つける, 害を及ぼす; （軽く）言及する; 関係がある, かかわる; 感動させる, 心を打つ	碰，触；涉及；提及；打动；影响	만지다, 닿다, 언급하다, 관련되다, 감동시키다
1821	1801-1900	valo	low	scope_zh:15|scope_ko:13	15	13	{Ｂ}【地理】谷, 谷間, 渓谷; 流域, =baseno; 【建】（屋根の）谷	（山）谷，谷地	산 사이의 골짜기, 계곡
1822	1801-1900	valoro	low	scope_ko:13	11	13	{Ｂ}価値, 値打ち; 価格, 値段; 価値ある物; 【数】値（あたい）	价值；值	가치, 값어치
1828	1801-1900	varo	low	scope_ko:12	11	12	{Ｂ}【経】商品, 売り物, >>komercaĵo, >>artiklo	商品，货物	상품
1830	1801-1900	vasta	low	scope_zh:13|scope_ko:14	13	14	{Ｂ}広い, 広々とした; （衣服が）ゆったりした; 《転》広範な; 【声】（母音が）開いた	广大，宽广，（衣服）肥大	넓은, 광대한
1832	1801-1900	vazo	low	scope_zh:27|scope_ko:25	27	25	{Ｂ}容器, うつわ, つぼ, かめ, 花びん, はち, >>〜, >>〜, >>〜 / 【解】（複合語で）脈管, =angio, >>sango〜	容器，花瓶	꽃병, 항아리, 용기, （해부·복합어）맥관
1837	1801-1900	velo	low	scope_zh:13	13	10	{Ｂ}【海】帆（ほ）; 【解】帆（はん）, （特に）口蓋帆, =palata 〜	帆	배나 풍차에 다는 돛
1848	1801-1900	verda	low	scope_zh:22|scope_ko:15	22	15	{Ｂ}緑の, 緑色の; 草木の茂った, 青々とした; 生の, 未成熟の, 青い; 【Ｅ】エスペラントの; 【環】環境保護の	绿色的	녹색, 초록색의, 미숙한, 【세】에스페란토의, 친환경적인
1862	1801-1900	vidi	low	scope_zh:14|scope_ko:13	14	13	{Ｂ}［他］見る（目に入る）, 見える, 目にうつる; 会う, 面会する; 見て気づく, 認める, わかる; 目撃する	看见	눈으로 보다
1864	1801-1900	vigla	low	scope_zh:28|scope_ko:25	28	25	{Ｂ}活発な, 元気な, 快活な, 生き生きした, はつらつとした, >>〜, >>vivoplena, >>rapidaga; 油断のない, 警戒を怠らない, >>observema; 【商】活況の	活跃，精神焕发，活泼	활기차고 원기 왕성한, 생기 있고 활발한
1865	1801-1900	viktimo	low	scope_ko:13	10	13	{Ｂ}【宗】いけにえ, >>oferaĵo; 《転》犠牲, 犠牲者, 被害者	祭祀用的牺牲；牺牲者，受害者	희생자, 피해자
1876	1801-1900	vivi	low	scope_zh:18|scope_ko:16	18	16	{Ｂ}［自］生きている, 生きる, 生存する; 生活する, 暮らす, 住む; 生計を立てる; （動物が）生息する, すむ; 《転》（記憶などに）残る	生活，活	생명이 있어 존재하며 살다
1877	1801-1900	vizaĝo	low	scope_zh:14|scope_ko:14	14	14	{Ｂ}顔, 顔面; 顔つき, 顔色; 《転》正面; 《転》表面	面部，面孔	사람의 얼굴
1880	1801-1900	vojaĝi	low	scope_zh:15|scope_ko:15	15	15	{Ｂ}［自］旅行する, 旅をする; （公務や外商で）出張する; （鳥などが）渡る, =〜; 《俗》（幻覚剤で）トリップする, 幻覚状態になる	旅行	여행하다
